Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-03-13T21:25:30",36.337,37.957,7,0.45,"ML",1.4,"Göksun (Kahramanmaraş)",562482
"2023-03-13T21:22:37",36.792,37.305,10.34,0.45,"ML",1.5,"Türkoğlu (Kahramanmaraş)",562483
"2023-03-13T21:21:11",37.684,38.047,7,0.8,"ML",2.3,"Doğanşehir (Malatya)",562484
"2023-03-13T21:16:02",39.02,38.222,10.38,0.35,"ML",1.6,"Pütürge (Malatya)",562485
"2023-03-13T21:14:37",36.348,37.986,7,0.6,"ML",1.4,"Göksun (Kahramanmaraş)",562481
"2023-03-13T21:11:03",39.472,38.457,5.48,0.17,"ML",1.5,"Maden (Elazığ)",562480
"2023-03-13T21:06:34",38.683,38.191,9.52,0.33,"ML",1.8,"Pütürge (Malatya)",562478
"2023-03-13T21:00:18",36.325,36.374,7,0.7,"ML",1.5,"Kumlu (Hatay)",562479
"2023-03-13T20:56:21",36.496,36.772,7,0.44,"ML",1.4,"Hassa (Hatay)",562475
"2023-03-13T20:52:56",36.216,37.831,7,0.35,"ML",1.5,"Saimbeyli (Adana)",562474
"2023-03-13T20:50:55",38.519,38.138,7,0.42,"ML",1.5,"Sincik (Adıyaman)",562476
"2023-03-13T20:49:53",38.315,38.268,7.59,0.36,"ML",1.5,"Yeşilyurt (Malatya)",562477
"2023-03-13T20:39:54",37.331,37.609,6.99,0.1,"ML",1.2,"Pazarcık (Kahramanmaraş)",562498
"2023-03-13T20:38:14",36.612,37.88,6.94,0.24,"ML",2.2,"Onikişubat (Kahramanmaraş)",562497
"2023-03-13T20:28:57",38.431,38.1,7.58,0.15,"ML",2.4,"Çelikhan (Adıyaman)",562493
"2023-03-13T20:24:28",36.108,36.467,19.8,0.19,"ML",1.7,"Arsuz (Hatay)",562496
"2023-03-13T20:20:43",37.92,38.145,11.05,0.73,"ML",2.5,"Doğanşehir (Malatya)",562492
"2023-03-13T20:18:18",37.043,37.463,6.83,0.12,"ML",1.2,"Dulkadiroğlu (Kahramanmaraş)",562495
"2023-03-13T20:15:20",37.129,38.204,6.28,0.4,"ML",1.9,"Elbistan (Kahramanmaraş)",562494
"2023-03-13T20:09:12",36.471,38.058,6.84,0.34,"ML",1.9,"Göksun (Kahramanmaraş)",562473
"2023-03-13T20:07:46",38.159,38.137,7.1,0.36,"ML",1.7,"Yeşilyurt (Malatya)",562472
"2023-03-13T19:47:08",37.187,37.472,6.85,0.27,"ML",1.4,"Dulkadiroğlu (Kahramanmaraş)",562471
"2023-03-13T19:46:11",38.101,38.159,7.03,0.76,"ML",1.8,"Doğanşehir (Malatya)",562470
"2023-03-13T19:41:35",36.303,37.745,7.03,0.42,"ML",1.6,"Andırın (Kahramanmaraş)",562468
"2023-03-13T19:36:18",38.77,38.127,10.53,0.44,"ML",1,"Pütürge (Malatya)",562469
"2023-03-13T19:34:20",36.268,37.97,16.15,0.49,"ML",2.3,"Göksun (Kahramanmaraş)",562467
"2023-03-13T19:26:03",37.541,38.037,7,0.3,"ML",2.3,"Nurhak (Kahramanmaraş)",562464
"2023-03-13T19:23:40",37.803,38.121,7,0.62,"ML",1.3,"Doğanşehir (Malatya)",562465
"2023-03-13T19:20:17",38.707,38.187,7,0.52,"ML",1.6,"Pütürge (Malatya)",562466
"2023-03-13T19:15:00",37.669,38.013,7.08,0.78,"ML",2.5,"Doğanşehir (Malatya)",562463
"2023-03-13T19:13:15",37.784,38.141,7,0.49,"ML",1.7,"Doğanşehir (Malatya)",562461
"2023-03-13T19:11:29",35.284,38.685,13.27,0.52,"ML",1.5,"İncesu (Kayseri)",562462
"2023-03-13T19:09:36",36.409,36.667,7,0.23,"ML",1.5,"Hassa (Hatay)",562460
"2023-03-13T19:07:11",36.904,37.173,7,0.34,"ML",1.1,"Nurdağı (Gaziantep)",562459
"2023-03-13T19:02:02",36.302,37.811,7,0.79,"ML",3.4,"Andırın (Kahramanmaraş)",562458
"2023-03-13T19:01:34",38.379,38.077,8.29,0.28,"ML",2.3,"Çelikhan (Adıyaman)",562454
"2023-03-13T18:58:46",37.874,37.906,7.07,0.63,"ML",2,"Doğanşehir (Malatya)",562448
"2023-03-13T18:58:06",36.52,37.834,7,0.36,"ML",1.6,"Onikişubat (Kahramanmaraş)",562449
"2023-03-13T18:53:59",38.447,38.106,7,0.52,"ML",1.3,"Sincik (Adıyaman)",562451
"2023-03-13T18:43:53",36.841,37.459,6.92,0.2,"ML",1.1,"Türkoğlu (Kahramanmaraş)",562457
"2023-03-13T18:39:32",36.274,37.839,7,0.33,"ML",1.6,"Saimbeyli (Adana)",562456
"2023-03-13T18:30:15",38.189,38.222,7.1,0.38,"ML",1.8,"Yeşilyurt (Malatya)",562455
"2023-03-13T18:23:01",42.571,40.951,6.6,0.35,"ML",1.5,"Göle (Ardahan)",562453
"2023-03-13T18:22:19",37.496,37.959,6.92,0.55,"ML",2,"Nurhak (Kahramanmaraş)",562452
"2023-03-13T18:17:56",38.688,38.176,6.94,0.24,"ML",2.6,"Pütürge (Malatya)",562450
"2023-03-13T18:08:23",39.016,38.223,6.99,0.33,"ML",1.9,"Pütürge (Malatya)",562446
"2023-03-13T18:06:40",38.684,38.184,8.09,0.2,"ML",2.9,"Pütürge (Malatya)",562445
"2023-03-13T17:59:51",36.32,37.734,7.07,0.27,"ML",2.3,"Andırın (Kahramanmaraş)",562447
"2023-03-13T17:57:37",40.333,38.535,7.06,0.44,"ML",2,"Genç (Bingöl)",562443
"2023-03-13T17:50:22",36.341,36.759,6.84,0.27,"ML",2.3,"Payas (Hatay)",562442
"2023-03-13T17:48:58",36.708,37.423,7.04,0.17,"ML",1.4,"Onikişubat (Kahramanmaraş)",562444
"2023-03-13T17:40:30",37.411,38.193,7.03,0.48,"ML",2.7,"Elbistan (Kahramanmaraş)",562434
"2023-03-13T17:37:28",37.701,37.796,16.28,0.55,"ML",3.2,"Gölbaşı (Adıyaman)",562433
"2023-03-13T17:36:24",39.027,38.229,7,0.21,"ML",1.3,"Pütürge (Malatya)",562439
"2023-03-13T17:34:44",38.044,38.208,7,0.13,"ML",1.2,"Yeşilyurt (Malatya)",562440
"2023-03-13T17:33:45",27.021,37.935,9.47,0.41,"ML",1.8,"Ege Denizi - Kuşadası Körfezi - [11.60 km] Menderes (İzmir)",562441
"2023-03-13T17:28:40",36.633,38.138,9.07,0.72,"ML",2.1,"Göksun (Kahramanmaraş)",562429
"2023-03-13T17:27:39",35.274,38.679,6.99,0.51,"ML",1.4,"İncesu (Kayseri)",562438
"2023-03-13T17:19:35",37.171,37.427,7,0.31,"ML",1.8,"Pazarcık (Kahramanmaraş)",562428
"2023-03-13T17:12:39",36.995,38.209,7,0.75,"ML",2.7,"Afşin (Kahramanmaraş)",562420
"2023-03-13T17:06:41",35.982,36.293,6.98,0.36,"ML",2.3,"Arsuz (Hatay)",562421
